,Posts,Channel,Views_03/03,Views_03/12,view_delta
68,"Ethiopia: ዘጠነኛው ሺ - የጩቢቲ አንፍር😂 ቀልዶች | Ye Chubaw Qeldoch (Part 3) by Habesha Times 1 year ago 16 minutes 370,440 views",Habesha Times,370440,370853,413
69,"Ethiopia: ዘጠነኛው ሺ - የጩቢቲ አንፍር😂 ቀልዶች | Ye Chubaw Qeldoch (Part 2) by Habesha Times 1 year ago 16 minutes 49,201 views",Habesha Times,49201,49405,204
70,"Ethiopia: ዘጠነኛው ሺ - የጩቢቲ አንፍር😂 ቀልዶች | Ye Chubaw Qeldoch (Part 1) by Habesha Times 1 year ago 16 minutes 64,880 views",Habesha Times,64880,65241,361
71,"Elias Teshome - Alwashim | አልዋሽም - New Ethiopian Music 2020 (Lyrics) by Habesha Times 1 year ago 3 minutes, 42 seconds 56,387 views",Habesha Times,56387,57207,820
72,"🔴 ኢንስታግራም ላይ በመቶ ሺ የሚቆጠሩ ተከታዮችን ያፈሩ ሴት አርቲስቶች | Top 10 Ethiopian Women Artists On Instagram | 2020 by Habesha Times 1 year ago 10 minutes, 10 seconds 1,868 views",Habesha Times,1868,1868,0
73,"Neway Debebe & Tsehaye Yohannes | Doro Wiha Xemtuat (ዶሮ ውሀ ጠምቷት) Lyrics by Habesha Times 1 year ago 6 minutes, 4 seconds 58,266 views",Habesha Times,58266,59594,1328
74,"Henok Abebe (ሔኖክ አበበ) - Qena Enbel (ቀና እንበል) | Full Album by Habesha Times 2 years ago 52 minutes 18,530 views",Habesha Times,18530,18759,229
75,"Teref Kasahun - Demo na | ደሞ'ና -New Ethiopian Music 2020 (Lyrics) by Habesha Times 2 years ago 4 minutes, 34 seconds 2,898 views",Habesha Times,2898,2901,3
76,"Hewan Gebrewold (Jano Band) Ane | ኣነ - New Ethiopian Music 2020 (Lyrics) by Habesha Times 2 years ago 4 minutes, 9 seconds 5,100 views",Habesha Times,5100,5144,44
77,"Merkeb Bonitua F.t Fana & Mesfen - Marsh Keyr (Lyrics) | ማርሽ ቐይር (ግጥም) by Habesha Times 2 years ago 4 minutes, 35 seconds 3,077 views",Habesha Times,3077,3091,14
78,"Sara Takele (Sirtana) Ft Gildo - Bekagn (በቃኝ) Lyrics by Habesha Times 2 years ago 3 minutes, 22 seconds 3,804 views",Habesha Times,3804,3828,24
