,Posts,Channel,Views_03/03,Views_03/12,view_delta
97,"Dagi Boy - Fetahuat - lyrics |ፈታዋት-ግጥም - New Ethiopian Music_2020_(Official_lyrics Video by Mafi ያ Tube 1 year ago 5 minutes, 7 seconds 1,505 views",Mafi ያ Tube,1505,1545,40
98,"chenakid_music vine_Fetahuat_|_ፈታዋት__New_Ethiopian_Music_2020_(Official_Video) by Mafi ያ Tube 1 year ago 5 minutes, 9 seconds 100 views",Mafi ያ Tube,100,100,0
99,Twins dagi performing dagi D ሼሮሳ dance cover by Mafi ያ Tube 1 year ago 31 seconds 812 views,Mafi ያ Tube,812,813,1
100,very funny seasn magi comedy part two Bill Test by Mafi ያ Tube 2 years ago 1 minute 29 views,Mafi ያ Tube,29,29,0
101,"very funny seasn magi comedy part one Bill Test by Mafi ያ Tube 2 years ago 1 minute, 3 seconds 17 views",Mafi ያ Tube,17,17,0
102,waw dance from Ehio gamo crew amaizin colab wach and enjoy it 2019 by Mafi ያ Tube 2 years ago 31 seconds 176 views,Mafi ያ Tube,176,176,0
103,Dagi Dance Show International says that every body can dance by Mafi ያ Tube 2 years ago 47 seconds 60 views,Mafi ያ Tube,60,61,1
104,"mulualem takele new ethipian music  shururuye by Mafi ያ Tube 2 years ago 1 minute, 41 seconds 132 views",Mafi ያ Tube,132,134,2
105,lets fun 2 by  Dagi Dance Show International by Mafi ያ Tube 2 years ago 19 seconds 50 views,Mafi ያ Tube,50,51,1
106,"ethiopian gamo traditional dance by Dagi Dance Show International music asge dendasho 2019 by Mafi ያ Tube 2 years ago 6 minutes, 38 seconds 210 views",Mafi ያ Tube,210,210,0
107,lets fun 3 by Dagi Dance Show International by Mafi ያ Tube 2 years ago 11 seconds 25 views,Mafi ያ Tube,25,27,2
108,በቁም አፈር መልበስ ሳይሻል አይቀርም ግን ለመዝናናት lets fun by Dagi Dance Show International 2019 by Mafi ያ Tube 2 years ago 42 seconds 30 views,Mafi ያ Tube,30,31,1
109,"Dagi dance show performing sidama cultural dance on the program of ethiopis(ኢትያጲስ) 2019 by Mafi ያ Tube 2 years ago 1 minute, 45 seconds 212 views",Mafi ያ Tube,212,213,1
110,"Ethiopian Best Hareri(ሸጎዬ)traditional dance performance by Dagi Dance Show Hawassa 2019 by Mafi ያ Tube 2 years ago 4 minutes, 19 seconds 118 views",Mafi ያ Tube,118,118,0
111,"Ethiopian oromo traditional  dance performing by Dagi Dance Show 2019 by Mafi ያ Tube 2 years ago 1 minute, 2 seconds 117 views",Mafi ያ Tube,117,117,0
112,"Best Ethiopian kunama(ኩናማ)traditional dance by dagi dagi dance show 2019 by Mafi ያ Tube 2 years ago 3 minutes, 59 seconds 1,209 views",Mafi ያ Tube,1209,1211,2
113,"Best Ethiopian gambela(መዠንገር)traditional dance performing by Dagi Dance show Awassa by Mafi ያ Tube 2 years ago 2 minutes, 47 seconds 277 views",Mafi ያ Tube,277,283,6
114,"Ethiopian Sidama cultural Dance  Performing By Dagi Dance show hawassa by Mafi ያ Tube 3 years ago 1 minute, 15 seconds 42 views",Mafi ያ Tube,42,42,0
115,"Dagi Dance Show performing ARI  taditional dance 2017 by Mafi ያ Tube 4 years ago 2 minutes, 49 seconds 106 views",Mafi ያ Tube,106,106,0
116,"Dagi Dance Show making wolayita gerersa training T by Mafi ያ Tube 4 years ago 1 minute, 6 seconds 580 views",Mafi ያ Tube,580,583,3
117,"Dagi Dance Show Awassa performing sidama tra dance by Mafi ያ Tube 5 years ago 1 minute, 49 seconds 2,112 views",Mafi ያ Tube,2112,2120,8
118,"Dagi Dance show Awassa performing gamo traditional by Mafi ያ Tube 5 years ago 2 minutes, 48 seconds 641 views",Mafi ያ Tube,641,644,3
119,"Sami Dan - Qalen | ሳሚ ዳን - ቃሌን Officiall Music Video : New Ethiopian Music 2022 on Mela TV by MELA TV 1 month ago 3 minutes, 41 seconds 41,012 views",MELA TV,41012,41672,660
120,"Tenes - Henok Berhanu December 16, 2021 by MELA TV 2 months ago 16 seconds 419 views",MELA TV,419,434,15
121,"Ethiopia Tenes ተነስ Henok Berhanu ሄኖክ ብርሀኑ New Ethiopian Music 2021 by MELA TV 2 months ago 3 minutes, 10 seconds 5,318 views",MELA TV,5318,5362,44
122,"Kalatashiw Akal - Beatweded | Doncorleon Mix l New Ethiopian Music 2021 on Mela TV by MELA TV 6 months ago 3 minutes, 46 seconds 7,191 views",MELA TV,7191,7255,64
123,"የፌስቡክ አርበኞች Ye Facebook Arbegnoch Premiere Part 01 on Mela TV by MELA TV 1 year ago 52 minutes 26,070 views",MELA TV,26070,26103,33
124,"የፌስቡክ አርበኞች Ye Facebook Arbegnoch Premiere Part 02 on Mela TV by MELA TV 1 year ago 53 minutes 39,912 views",MELA TV,39912,39941,29
125,"Abatachn Hoy አባታችን ሆይ  - Tewodros Tadesse ቴዎርድሮስ ታደሰ on Mela TV by MELA TV 1 year ago 5 minutes, 53 seconds 3,550 views",MELA TV,3550,3567,17
126,"Abrham Maru Senselet's Gash Tassew - Ethiopia Aderah Nat on Mela TV by MELA TV 1 year ago 8 minutes, 57 seconds 9,332 views",MELA TV,9332,9335,3
127,"የፌስቡክ አርበኞች ክፍል 10 ሴራ - Ye Facebook Arbegnoch | Episode 10 - Sēra on MELA TV by MELA TV 1 year ago 38 minutes 39,185 views",MELA TV,39185,39195,10
128,"የፌስቡክ አርበኞች ክፍል 09 እንግዳ - Ye Facebook Arbegnoch | Episode 09 - Engida on MELA TV by MELA TV 1 year ago 37 minutes 32,295 views",MELA TV,32295,32300,5
129,"የፌስቡክ አርበኞች ክፍል 08 እቅድ - Ye Facebook Arbegnoch | Episode 08 - Ekid on MELA TV by MELA TV 1 year ago 33 minutes 42,589 views",MELA TV,42589,42594,5
130,"የፌስቡክ አርበኞች ክፍል 07 እርምጃ - Ye Facebook Arbegnoch | Episode 07 - Ermija on MELA TV by MELA TV 1 year ago 34 minutes 32,713 views",MELA TV,32713,32720,7
131,"የፌስቡክ አርበኞች ክፍል 06 ተስፋ - Ye Facebook Arbegnoch | Episode 06 - Tesfa by MELA TV 1 year ago 37 minutes 32,861 views",MELA TV,32861,32867,6
132,"የፌስቡክ አርበኞች ክፍል 05 ቅን ልቦች - Ye Facebook Arbegnoch | Episode 05 - Kin Liboch by MELA TV 1 year ago 35 minutes 50,164 views",MELA TV,50164,50181,17
133,"የፌስቡክ አርበኞች ክፍል 04  ትዝታ - Ye Facebook Arbegnoch | Episode 04 - Tizita by MELA TV 1 year ago 34 minutes 40,988 views",MELA TV,40988,41002,14
134,"የፌስቡክ አርበኞች ክፍል 03 ፍቅር - Ye Facebook Arbegnoch | Episode 03 - Fikir on Mela TV by MELA TV 1 year ago 35 minutes 47,442 views",MELA TV,47442,47462,20
135,"የፌስቡክ አርበኞች ክፍል 02 ግዜው የለውጥ ነው - Ye Facebook Arbegnoch | Episode 02 - Gizew Ye Lewit New on Mela TV by MELA TV 1 year ago 30 minutes 45,688 views",MELA TV,45688,45721,33
136,"Senselet Series Season 6 Starts this Coming Saturday | ሰንሰለት ምዕራፍ 6 የፊታችን ቅዳሜ March 7 ይጀምራል by MELA TV 1 year ago 1 minute, 16 seconds 30,144 views",MELA TV,30144,30162,18
137,"Ye Facebook Arbegnoch - Episode 01 | The Pilot - Beteseb ቤተሰብ on Mela TV by MELA TV 2 years ago 30 minutes 77,152 views",MELA TV,77152,77191,39
138,"YeFacebook Arbegnoch Triller የፌስቡክ አርበኞች የፊታችን እሁድ የካቲት 22 ይጀምራል on Mela TV by MELA TV 2 years ago 2 minutes, 19 seconds 5,602 views",MELA TV,5602,5603,1
139,"እግዚአብሔር አይወለድም አይወልድምን?  ምሥጢረ ሥላሴ - ክፍል 9/10 ሚጠት፦ ወደ ኦርቶዶክስ መመለስ /መምጣት by MELA TV 2 years ago 15 minutes 2,801 views",MELA TV,2801,2807,6
140,"I Never Knew - Episode 9 on Mela TV by MELA TV 2 years ago 5 minutes, 23 seconds 3,220 views",MELA TV,3220,3221,1
141,"Senselet Drama S05 Recap Part 2 ሰንሰለት ምዕራፍ 5 ትውስታ Part 2 by MELA TV 2 years ago 38 minutes 43,333 views",MELA TV,43333,43349,16
